,,,,Delay,,,,Loss,,,,Jitter,,,
File,Subnet,Num UE,Num RBs,Delay (mean),Delay (std),Delay (min),Delay (max),Loss (mean),Loss (std),Loss (min),Loss (max),Jitter (mean),Jitter (std),Jitter (min),Jitter (max)
D30sec_Rbs8_UE20.csv,VOIP,20,8,0.003334112,0.00105788,0.001068414,0.005080984,0.014449414,0.004746186,0.007279977,0.0294941,0.009212619,0.002116631,0.005823451,0.014796056
D30sec_Rbs1_UE25.csv,VOIP,25,1,0.287983289,0.147434286,0.144162045,0.868279766,0.218937647,0.026590732,0.188906518,0.28854549,0.424823637,0.219241435,0.198287905,1.332323403
D30sec_Rbs2_UE25.csv,VOIP,25,2,0.025749291,0.007319026,0.014388541,0.0436999,0.102216813,0.009542543,0.078071658,0.116740143,0.02497621,0.012998776,0.009894001,0.073594166
D30sec_Rbs3_UE25.csv,VOIP,25,3,0.004714531,0.001827044,0.002514893,0.009419194,0.044674922,0.004707561,0.032867695,0.052958197,0.004666732,0.001504352,0.002752317,0.009199573
D30sec_Rbs4_UE25.csv,VOIP,25,4,0.003663673,0.001380241,0.001701741,0.007125422,0.023517964,0.004849457,0.015823516,0.033803882,0.006722984,0.001829241,0.003756256,0.011281382
D30sec_Rbs5_UE25.csv,VOIP,25,5,0.003356317,0.001493219,0.001149233,0.008188195,0.014754308,0.002996582,0.008971558,0.020410667,0.008944306,0.004635597,0.004537153,0.02852706
D30sec_Rbs6_UE25.csv,VOIP,25,6,0.00315039,0.001588411,0.001114717,0.00726751,0.013495914,0.00358317,0.007282538,0.021755029,0.0088179,0.002510865,0.005510806,0.014942581
D30sec_Rbs7_UE25.csv,VOIP,25,7,0.002804109,0.001203777,0.000785165,0.005239982,0.010903861,0.003051237,0.006200478,0.018106872,0.008180998,0.002332255,0.005242069,0.015765835
D30sec_Rbs8_UE25.csv,VOIP,25,8,0.003138247,0.001503959,0.001265509,0.007902701,0.011783622,0.00358649,0.005943085,0.01905876,0.009342626,0.004209492,0.005275316,0.026682557
D30sec_Rbs1_UE30.csv,VOIP,30,1,0.483889131,0.207505329,0.187873088,1.145348099,0.264300512,0.035567876,0.189623531,0.347308936,0.766779861,0.351247614,0.33158851,1.907246603
D30sec_Rbs2_UE30.csv,VOIP,30,2,0.052496952,0.011708007,0.03075181,0.082537129,0.129598165,0.010290282,0.111940288,0.157970032,0.062499699,0.023669332,0.019449,0.126046383
D30sec_Rbs3_UE30.csv,VOIP,30,3,0.006174628,0.001715534,0.003034133,0.009921794,0.058114792,0.004848006,0.04811168,0.073774859,0.005094375,0.001517163,0.002662619,0.008446334
D30sec_Rbs4_UE30.csv,VOIP,30,4,0.003553487,0.001072724,0.002210012,0.006869732,0.030299142,0.004774388,0.021969509,0.040940269,0.004858781,0.001295252,0.003148916,0.009778022
D30sec_Rbs5_UE30.csv,VOIP,30,5,0.003043756,0.001175617,0.001342037,0.005409696,0.016815583,0.003712915,0.010534553,0.028818167,0.006839316,0.002911624,0.003677082,0.017274103
D30sec_Rbs6_UE30.csv,VOIP,30,6,0.002804736,0.00116193,0.000850253,0.005296549,0.012492406,0.003095914,0.00764902,0.022795148,0.007391727,0.00222529,0.004819748,0.016093437
D30sec_Rbs7_UE30.csv,VOIP,30,7,0.002873011,0.001375673,0.000904135,0.006787749,0.012168894,0.00329034,0.007965987,0.022409899,0.008523089,0.002503407,0.005831814,0.016376114
D30sec_Rbs8_UE30.csv,VOIP,30,8,0.002854518,0.001569667,0.001033542,0.008009494,0.011518695,0.003315563,0.004848216,0.01835562,0.009471809,0.004016755,0.005839577,0.024613288
D30sec_Rbs1_UE35.csv,VOIP,35,1,0.760166548,0.321575288,0.333255712,1.651030067,0.285324953,0.028261922,0.226744713,0.334463019,1.175291053,0.442943771,0.535632801,2.234628294
